Espèce;Diamètre (cm);Hauteur réelle (m)
P;16,5;14,8
P;13;11,2
P;23,8;8,71
C;16,5;8,9
P;35;21,37
P;27;15,22
P;36,5;15,92
P;14,5;10
P;18,2;9,75
P;22,5;9,25
P;35;14,2
P;32;15,5
P;34,4;19,48
C;37,9;20,97
P;29,6;10,75
P;18,3;10,4
C;15,6;8,24
P;10;5,47
P;21;13
P;11,8;10,44
P;31,8;11,4
P;18,1;9,4
C;40;17,9
P;11,8;8,9
P;35,5;14,34
P;18;13
P;23,1;10,7
P;9;7,2
P;31,2;15
P;19,4;12,5
P;35;14,4
P;31,8;16
P;24,2;9,54
P;12;8,18
C;25,6;14,39
C;14,8;9,79
P;34,1;12,99
P;21;11,99
P;28,8;10,39
P;12,3;7,89
P;25,9;9,94
P;18;9,83
P;33;11,99
P;10,5;9,9
P;20,2;8,94
P;8,5;5,96
P;19,9;8,93
P;16,8;9
P;29,3;11,93
P;17;10,83
P;27,5;14,42
P;20;14,85
C;30;11,96
P;11,4;4,17
P;21,3;9,49
P;9,4;7,65
P;20;16,05
P;14;7,2
P;31;15,48
P;20;14,99
P;27,4;12
P;25,8;11,97
C;52;20,5
P;57;19,29
P;20,7;10,96
P;9,2;8,7
P;18,1;8,99
P;14,4;8,99
P;27,5;13
P;24;13,4
P;28;11,5
C;23;11,8
P;27,5;10,8
P;20,5;13,6
P;26;13,21
C;28;16,05
C;25,2;11,8
C;14,1;15,3
P;37,8;16,42
P;35;15,98
P;39,2;18,5
P;13,5;16,47
P;20,9;9,28
P;9,8;6,39
P;29;13,45
P;36;13,43
C;21;11,5
P;33;11,39
P;24,5;10,5
C;20;8
C;38,8;15,8
C;16;12,46
P;47,5;18,2
C;31,9;14,5
C;57;20,97
C;19;14,13
C;44;13,98
C;14,5;10,23
C;55,7;19,6
P;9,5;7,3
C;62;22,6
C;45;22,9
P;44,2;19
C;38,3;17,49
C;70,9;24,2
C;27,5;16,6
C;49,5;21,92
C;15,6;11,88
C;36,4;13,8
C;5,7;4,4
C;44;18,22
P;43;15,58
C;53;21,78
C;33;16,11
P;62;17,91
P;45,2;17,3
C;37;21,97
C;16,3;10,42
C;39,5;19,5
P;55;17,99
P;16,9;10,83
C;58,5;22,55
C;52,5;20,8
C;40,5;18,95
C;49;19,9
C;34,9;16,6
C;30;9
C;30;11,44
C;49;15,12
C;35;15,73
C;41,9;18
C;35,7;17,18
C;45,9;16,8
C;53,5;20,7
C;41;20
C;42;20,7
C;34,4;21,4
C;52,5;23,2
P;12,4;7,6
C;53,2;20
C;51,2;12,4
C;48;24,25
C;38;19,25
C;49,8;21,3
C;30,6;19
C;44,3;9,3
C;35,7;16,97
C;51;16,34
C;43,2;18,24
C;46,1;21,43
C;12,2;6,39
C;45;15,31
C;34;15,31
C;46,9;20,03
P;18;10,8
P;58,2;17,44
C;32,3;14,98
C;53,9;17,98
C;17;11
C;38;14
C;23;11,1
C;37,6;16,8
C;22;13,5
C;65,5;14,8
C;12,8;8,4
C;39;16,8
C;36;17,4
C;76,5;20,88
C;35;18,59
C;20,8;10,79
C;8,1;4,39
C;14,9;6,37
C;12,3;5,01
C;34,9;15,2
C;26;13,7
C;55;17,24
C;30;12
P;35,3;15,8
C;9,8;5,65
P;32;16,36
C;9,3;7,24
C;39,3;17,8
C;16,5;9,8
C;37,5;20,35
C;32;18,86
C;36;14
C;10,5;5,25
C;39;17,5
C;33,9;20
C;63;20,6
P;58;22
C;59;20
C;48,5;18,6
C;58,2;16,34
C;16,3;8,72
C;87;30,3
C;68;26,7
C;92;28,1
C;38,5;23
C;52;28,9
C;44;26
C;29,3;18,8
C;24,3;15,3
C;70;22,96
P;28,5;15,52
C;90,5;31
C;67,8;23,66
C;23;11,62
P;37,5;9,81
C;51;20,38
C;29,5;17,48
C;73,5;24,51
C;37,1;13,73
C;43,3;15,21
C;38;16,5
P;32;9,46
C;29,5;10,46
P;53;26,42
P;36;20,15
C;48;20,59
P;59,3;22,14
C;57;19,24
C;38,9;20,24
